delta,flipAngle,TR,numSatPulse,pulseDur,numExc,satTrainPerBoost,TR_MT,b1
8000,4,0.11,8,0.00128,8,1,1,8.06491010314626
8000,4,0.11,8,0.00128,10,1,1,7.73255211820925
8000,4,0.11,8,0.002048,8,1,1,6.37587126261142
8000,4,0.11,10,0.000768,8,1,1,9.31255603808325
8000,4,0.11,10,0.000768,10,1,1,8.92878209394185
8000,4,0.11,10,0.001024,8,1,1,8.06491010314626
8000,4,0.11,10,0.001024,10,1,1,7.73255211820925
8000,4,0.11,10,0.00128,8,1,1,7.21347488922395
8000,4,0.11,10,0.00128,10,1,1,6.91620487035035
8000,4,0.11,10,0.002048,8,1,1,5.70275262359462
8000,4,0.11,12,0.000768,8,1,1,8.50116168348189
8000,4,0.11,12,0.000768,10,1,1,8.15082560650027
8000,4,0.11,12,0.001024,8,1,1,7.3622219795742
8000,4,0.11,12,0.001024,10,1,1,7.05882203704594
8000,4,0.11,12,0.00128,8,1,1,6.58497152470839
8000,4,0.11,12,0.002048,8,1,1,5.20587708635756
8000,4,0.11,14,0.000768,8,1,1,7.87054635798379
8000,4,0.11,14,0.000768,10,1,1,7.54619817623874
8000,4,0.11,14,0.001024,8,1,1,6.81609308767706
8000,4,0.11,14,0.00128,8,1,1,6.09649899400493
8000,4,0.11,16,0.000768,8,1,1,7.3622219795742
8000,4,0.11,16,0.001024,8,1,1,6.37587126261142
8000,4,0.11,16,0.00128,8,1,1,5.70275262359462
8000,4,0.11,18,0.000768,8,1,1,6.94116944847675
8000,4,0.11,18,0.001024,8,1,1,6.01122907435329
8000,4,0.11,18,0.00128,8,1,1,5.37660673543084
8000,4,0.11,20,0.000768,8,1,1,6.58497152470839
8000,4,0.11,20,0.001024,8,1,1,5.70275262359462
8000,4,0.11,20,0.00128,8,1,1,5.10069701008913
8000,4,0.12,2,0.000768,8,1,1,14
8000,4,0.12,2,0.000768,10,1,1,14
8000,4,0.12,2,0.000768,12,1,1,14
8000,4,0.12,2,0.001024,8,1,1,14
8000,4,0.12,2,0.001024,10,1,1,14
8000,4,0.12,2,0.001024,12,1,1,14
8000,4,0.12,2,0.00128,8,1,1,14
8000,4,0.12,2,0.00128,10,1,1,14
8000,4,0.12,2,0.00128,12,1,1,14
8000,4,0.12,2,0.002048,8,1,1,13.5408923032237
8000,4,0.12,2,0.002048,10,1,1,13.0472116787451
8000,4,0.12,2,0.002048,12,1,1,12.5341015159628
8000,4,0.12,4,0.000768,8,1,1,14
8000,4,0.12,4,0.000768,10,1,1,14
8000,4,0.12,4,0.000768,12,1,1,14
8000,4,0.12,4,0.001024,8,1,1,13.5408923032237
8000,4,0.12,4,0.001024,10,1,1,13.0472116787451
8000,4,0.12,4,0.001024,12,1,1,12.5341015159628
8000,4,0.12,4,0.00128,8,1,1,12.1113422664047
8000,4,0.12,4,0.00128,10,1,1,11.6697808922012
8000,4,0.12,4,0.00128,12,1,1,11.2108412106304
8000,4,0.12,4,0.002048,8,1,1,9.57485677092617
8000,4,0.12,4,0.002048,10,1,1,9.22577185361694
8000,4,0.12,4,0.002048,12,1,1,8.86294817801788
8000,4,0.12,6,0.000768,8,1,1,12.7664756945682
8000,4,0.12,6,0.000768,10,1,1,12.3010291381559
8000,4,0.12,6,0.000768,12,1,1,11.8172642373572
